_MEMBER_MyList,_LogP_MyList,GO,_PATTERN_,_RANK_,GiniIndex,Category,CategoryID,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),EvidenceCutoff
1,-49,C0011853,M1,1,0,DisGeNET,35,"Diabetes Mellitus, Experimental",,-49,12,26,30182,522,322,65,20,2.2,100|132|148|155|207|462|467|581|593|596|598|627|834|836|891|948|1026|1588|1636|1728|1906|2335|2936|3162|3383|3458|3552|3553|3558|3569|3586|3643|3688|3783|3938|3949|4318|4792|4846|4914|5105|5175|5213|5295|5313|5468|5579|5742|5743|5970|5972|6376|6517|6720|7018|7040|7042|7054|7124|7157|7422|8714|10891|51738|79602,ADA|ADK|ADRA1A|ADRB3|AKT1|SERPINC1|ATF3|BAX|BCKDHA|BCL2|BCL2L1|BDNF|CASP1|CASP3|CCNB1|CD36|CDKN1A|CYP19A1|ACE|NQO1|EDN1|FN1|GSR|HMOX1|ICAM1|IFNG|IL1A|IL1B|IL2|IL6|IL10|INSR|ITGB1|KCNN4|LCT|LDLR|MMP9|NFKBIA|NOS3|NTRK1|PCK1|PECAM1|PFKM|PIK3R1|PKLR|PPARG|PRKCB|PTGS1|PTGS2|RELA|REN|CX3CL1|SLC2A4|SREBF1|TF|TGFB1|TGFB2|TH|TNF|TP53|VEGFA|ABCC3|PPARGC1A|GHRL|ADIPOR2,-44,0
1,-48,C0856169,M1,1,0,DisGeNET,35,Endothelial dysfunction,,-48,9.4,24,30182,716,322,72,22,2.3,55|100|142|148|191|207|462|467|581|596|627|834|836|948|1116|1277|1636|1803|1906|2152|2335|3162|3383|3458|3552|3553|3569|3576|3586|3606|3643|3949|4129|4318|4846|5175|5241|5290|5291|5293|5294|5347|5444|5468|5562|5563|5579|5599|5728|5742|5743|5970|5972|6401|6530|6898|7040|7124|7157|7422|8482|8648|8877|10096|10598|10891|50506|51094|57556|79602|83667|255738,ACP3|ADA|PARP1|ADRA1A|AHCY|AKT1|SERPINC1|ATF3|BAX|BCL2|BDNF|CASP1|CASP3|CD36|CHI3L1|COL1A1|ACE|DPP4|EDN1|F3|FN1|HMOX1|ICAM1|IFNG|IL1A|IL1B|IL6|CXCL8|IL10|IL18|INSR|LDLR|MAOB|MMP9|NOS3|PECAM1|PGR|PIK3CA|PIK3CB|PIK3CD|PIK3CG|PLK1|PON1|PPARG|PRKAA1|PRKAA2|PRKCB|MAPK8|PTEN|PTGS1|PTGS2|RELA|REN|SELE|SLC6A2|TAT|TGFB1|TNF|TP53|VEGFA|SEMA7A|NCOA1|SPHK1|ACTR3|AHSA1|PPARGC1A|DUOX2|ADIPOR1|SEMA6A|ADIPOR2|SESN2|PCSK9,-44,0
1,-46,C0021368,M1,1,0,DisGeNET,35,Inflammation,,-46,12,25,30182,467,322,60,19,2.2,40|41|100|103|142|155|196|207|332|462|627|728|834|940|1026|1116|1137|1588|1906|2152|2335|3162|3383|3458|3552|3553|3569|3576|3586|3592|3593|3596|3606|4057|4318|4583|4846|5175|5241|5294|5444|5468|5562|5728|5743|5970|6376|6401|7018|7039|7040|7124|7128|7157|7422|9311|51094|51738|51816|79602,ASIC2|ASIC1|ADA|ADAR|PARP1|ADRB3|AHR|AKT1|BIRC5|SERPINC1|BDNF|C5AR1|CASP1|CD28|CDKN1A|CHI3L1|CHRNA4|CYP19A1|EDN1|F3|FN1|HMOX1|ICAM1|IFNG|IL1A|IL1B|IL6|CXCL8|IL10|IL12A|IL12B|IL13|IL18|LTF|MMP9|MUC2|NOS3|PECAM1|PGR|PIK3CG|PON1|PPARG|PRKAA1|PTEN|PTGS2|RELA|CX3CL1|SELE|TF|TGFA|TGFB1|TNF|TNFAIP3|TP53|VEGFA|ASIC3|ADIPOR1|GHRL|ADA2|ADIPOR2,-42,0
1,-45,C0151744,M1,1,0,DisGeNET,35,Myocardial Ischemia,,-45,8.8,23,30182,756,322,71,22,2.3,196|207|332|581|595|596|627|650|836|948|1116|1118|1137|1588|1636|1803|1906|2152|2335|2657|2768|3162|3383|3458|3552|3553|3558|3569|3586|3606|3938|3949|4318|4792|4846|5032|5069|5130|5175|5213|5290|5291|5293|5294|5444|5468|5562|5563|5579|5728|5743|5970|5972|6376|6401|7040|7042|7124|7422|8313|8804|8877|9311|10371|10598|10891|51738|54541|140809|255738|345275,AHR|AKT1|BIRC5|BAX|CCND1|BCL2|BDNF|BMP2|CASP3|CD36|CHI3L1|CHIT1|CHRNA4|CYP19A1|ACE|DPP4|EDN1|F3|FN1|GDF1|GNA12|HMOX1|ICAM1|IFNG|IL1A|IL1B|IL2|IL6|IL10|IL18|LCT|LDLR|MMP9|NFKBIA|NOS3|P2RY11|PAPPA|PCYT1A|PECAM1|PFKM|PIK3CA|PIK3CB|PIK3CD|PIK3CG|PON1|PPARG|PRKAA1|PRKAA2|PRKCB|PTEN|PTGS2|RELA|REN|CX3CL1|SELE|TGFB1|TGFB2|TNF|VEGFA|AXIN2|CREG1|SPHK1|ASIC3|SEMA3A|AHSA1|PPARGC1A|GHRL|DDIT4|SRXN1|PCSK9|HSD17B13,-41,0
1,-45,C0376618,M1,1,0,DisGeNET,35,Endotoxemia,,-45,13,25,30182,401,322,56,17,2.1,70|142|148|462|467|581|596|728|834|836|1128|1137|1182|1636|1803|1845|1906|2011|2152|2353|2752|2806|2936|3162|3383|3458|3552|3553|3569|3576|3586|3596|3688|4241|4318|4583|4846|4914|5105|5175|5290|5291|5293|5294|5468|5562|5563|5743|6376|6401|6720|7124|7150|10598|54541|255738,ACTC1|PARP1|ADRA1A|SERPINC1|ATF3|BAX|BCL2|C5AR1|CASP1|CASP3|CHRM1|CHRNA4|CLCN3|ACE|DPP4|DUSP3|EDN1|MARK2|F3|FOS|GLUL|GOT2|GSR|HMOX1|ICAM1|IFNG|IL1A|IL1B|IL6|CXCL8|IL10|IL13|ITGB1|MELTF|MMP9|MUC2|NOS3|NTRK1|PCK1|PECAM1|PIK3CA|PIK3CB|PIK3CD|PIK3CG|PPARG|PRKAA1|PRKAA2|PTGS2|CX3CL1|SELE|SREBF1|TNF|TOP1|AHSA1|DDIT4|PCSK9,-41,0
1,-42,C0085207,M1,1,0,DisGeNET,35,Gestational Diabetes,,-42,9.2,22,30182,649,322,64,20,2.2,71|72|100|132|155|207|259|581|596|627|836|948|1181|1188|1385|1545|1588|1636|1803|2152|2335|2350|2806|2936|3105|3383|3458|3553|3569|3576|3586|3592|3606|3638|3643|3938|3949|4318|4846|5069|5105|5175|5290|5291|5293|5294|5444|5468|5562|5563|5599|5728|5743|5972|6401|6517|6720|7040|7124|7422|10891|51094|79602|345651,ACTG1|ACTG2|ADA|ADK|ADRB3|AKT1|AMBP|BAX|BCL2|BDNF|CASP3|CD36|CLCN2|CLCNKB|CREB1|CYP1B1|CYP19A1|ACE|DPP4|F3|FN1|FOLR2|GOT2|GSR|HLA-A|ICAM1|IFNG|IL1B|IL6|CXCL8|IL10|IL12A|IL18|INSIG1|INSR|LCT|LDLR|MMP9|NOS3|PAPPA|PCK1|PECAM1|PIK3CA|PIK3CB|PIK3CD|PIK3CG|PON1|PPARG|PRKAA1|PRKAA2|MAPK8|PTEN|PTGS2|REN|SELE|SLC2A4|SREBF1|TGFB1|TNF|VEGFA|PPARGC1A|ADIPOR1|ADIPOR2|ACTBL2,-38,0
1,-41,C0019158,M1,1,0,DisGeNET,35,Hepatitis,,-41,9.1,22,30182,656,322,64,20,2.2,71|72|100|103|142|196|332|596|834|836|1026|1385|1545|1588|1636|1803|2936|3105|3162|3248|3383|3458|3552|3553|3558|3569|3576|3586|3592|3593|3596|3606|3643|3949|4318|5018|5175|5290|5291|5293|5294|5295|5424|5444|5468|5599|5728|5742|5743|5970|7018|7039|7040|7042|7124|7157|7422|8877|10125|10598|57556|84706|255738|345651,ACTG1|ACTG2|ADA|ADAR|PARP1|AHR|BIRC5|BCL2|CASP1|CASP3|CDKN1A|CREB1|CYP1B1|CYP19A1|ACE|DPP4|GSR|HLA-A|HMOX1|HPGD|ICAM1|IFNG|IL1A|IL1B|IL2|IL6|CXCL8|IL10|IL12A|IL12B|IL13|IL18|INSR|LDLR|MMP9|OXA1L|PECAM1|PIK3CA|PIK3CB|PIK3CD|PIK3CG|PIK3R1|POLD1|PON1|PPARG|MAPK8|PTEN|PTGS1|PTGS2|RELA|TF|TGFA|TGFB1|TGFB2|TNF|TP53|VEGFA|SPHK1|RASGRP1|AHSA1|SEMA6A|GPT2|PCSK9|ACTBL2,-38,0
1,-41,C0007785,M1,1,0,DisGeNET,35,Cerebral Infarction,,-41,8.9,22,30182,687,322,65,20,2.2,142|207|332|462|581|596|627|834|836|948|1385|1636|1644|1803|1906|2353|2657|2752|3162|3383|3552|3553|3569|3576|3586|3596|3606|3612|3688|3783|3949|4133|4318|4846|5130|5290|5291|5293|5294|5444|5468|5579|5599|5728|5742|5743|5972|6376|6401|6898|7039|7040|7124|7157|7186|7422|8313|8877|10371|10507|10598|50506|57556|79602|140809,PARP1|AKT1|BIRC5|SERPINC1|BAX|BCL2|BDNF|CASP1|CASP3|CD36|CREB1|ACE|DDC|DPP4|EDN1|FOS|GDF1|GLUL|HMOX1|ICAM1|IL1A|IL1B|IL6|CXCL8|IL10|IL13|IL18|IMPA1|ITGB1|KCNN4|LDLR|MAP2|MMP9|NOS3|PCYT1A|PIK3CA|PIK3CB|PIK3CD|PIK3CG|PON1|PPARG|PRKCB|MAPK8|PTEN|PTGS1|PTGS2|REN|CX3CL1|SELE|TAT|TGFA|TGFB1|TNF|TP53|TRAF2|VEGFA|AXIN2|SPHK1|SEMA3A|SEMA4D|AHSA1|DUOX2|SEMA6A|ADIPOR2|SRXN1,-38,0
1,-40,C0155626,M1,1,0,DisGeNET,35,Acute myocardial infarction,,-40,8.2,21,30182,766,322,67,21,2.3,142|155|196|207|462|581|595|596|627|834|836|948|1116|1277|1588|1636|1733|1803|1906|2152|2806|2936|3162|3383|3458|3552|3553|3569|3576|3586|3606|3688|3949|4318|4846|5032|5069|5175|5290|5291|5293|5294|5444|5468|5562|5563|5599|5728|5743|5970|5972|6376|6517|6530|7040|7054|7124|7157|7299|7422|8804|10598|10891|51094|58487|84680|255738,PARP1|ADRB3|AHR|AKT1|SERPINC1|BAX|CCND1|BCL2|BDNF|CASP1|CASP3|CD36|CHI3L1|COL1A1|CYP19A1|ACE|DIO1|DPP4|EDN1|F3|GOT2|GSR|HMOX1|ICAM1|IFNG|IL1A|IL1B|IL6|CXCL8|IL10|IL18|ITGB1|LDLR|MMP9|NOS3|P2RY11|PAPPA|PECAM1|PIK3CA|PIK3CB|PIK3CD|PIK3CG|PON1|PPARG|PRKAA1|PRKAA2|MAPK8|PTEN|PTGS2|RELA|REN|CX3CL1|SLC2A4|SLC6A2|TGFB1|TH|TNF|TP53|TYR|VEGFA|CREG1|AHSA1|PPARGC1A|ADIPOR1|CREBZF|ACCS|PCSK9,-37,0
1,-39,C0740391,M1,1,0,DisGeNET,35,Middle Cerebral Artery Occlusion,,-39,9.1,21,30182,626,322,61,19,2.2,142|191|196|207|467|581|595|596|597|627|728|834|836|1116|1588|1906|2353|3162|3383|3458|3552|3553|3558|3569|3586|3606|3949|4133|4318|4846|5175|5241|5290|5291|5293|5294|5468|5562|5563|5599|5728|5743|5970|5972|6376|6898|7039|7040|7042|7124|7157|7186|7422|8313|9723|10371|10507|10598|83667|140809|255738,PARP1|AHCY|AHR|AKT1|ATF3|BAX|CCND1|BCL2|BCL2A1|BDNF|C5AR1|CASP1|CASP3|CHI3L1|CYP19A1|EDN1|FOS|HMOX1|ICAM1|IFNG|IL1A|IL1B|IL2|IL6|IL10|IL18|LDLR|MAP2|MMP9|NOS3|PECAM1|PGR|PIK3CA|PIK3CB|PIK3CD|PIK3CG|PPARG|PRKAA1|PRKAA2|MAPK8|PTEN|PTGS2|RELA|REN|CX3CL1|TAT|TGFA|TGFB1|TGFB2|TNF|TP53|TRAF2|VEGFA|AXIN2|SEMA3E|SEMA3A|SEMA4D|AHSA1|SESN2|SRXN1|PCSK9,-36,0
